date;value
07.04.2015;253,18
08.04.2015;245,02
09.04.2015;243,68
10.04.2015;236,07
11.04.2015;236,55
12.04.2015;236,15
13.04.2015;224,59
14.04.2015;219,16
15.04.2015;223,83
16.04.2015;228,57
17.04.2015;222,88
18.04.2015;223,36
19.04.2015;222,6
20.04.2015;224,63
21.04.2015;235,27
22.04.2015;234,18
23.04.2015;236,46
24.04.2015;231,27
25.04.2015;226,39
26.04.2015;219,43
27.04.2015;229,29
28.04.2015;225,85
29.04.2015;225,81
30.04.2015;236,15
01.05.2015;232,08
02.05.2015;234,93
03.05.2015;240,36
04.05.2015;239,02
05.05.2015;236,12
06.05.2015;229,78
07.05.2015;237,33
08.05.2015;243,86
09.05.2015;241,83
10.05.2015;240,3
11.05.2015;242,16
12.05.2015;241,11
13.05.2015;236,38
14.05.2015;236,93
15.05.2015;237,6
16.05.2015;236,15
17.05.2015;236,8
18.05.2015;233,13
19.05.2015;231,95
20.05.2015;234,02
21.05.2015;235,34
22.05.2015;240,35
23.05.2015;238,87
24.05.2015;240,95
25.05.2015;237,11
26.05.2015;237,12
27.05.2015;237,28
28.05.2015;237,41
29.05.2015;237,1
30.05.2015;233,34
31.05.2015;230,19
01.06.2015;222,93
02.06.2015;225,8
03.06.2015;225,87
04.06.2015;224,32
05.06.2015;224,95
06.06.2015;225,62
07.06.2015;222,88
08.06.2015;228,49
09.06.2015;229,05
10.06.2015;228,8
11.06.2015;229,71
12.06.2015;229,98
13.06.2015;232,4
14.06.2015;233,54
15.06.2015;236,82
16.06.2015;250,9
17.06.2015;249,28
18.06.2015;249,01
19.06.2015;244,61
20.06.2015;245,21
21.06.2015;243,94
22.06.2015;246,99
23.06.2015;244,3
24.06.2015;240,51
25.06.2015;242,8
26.06.2015;243,59
27.06.2015;250,99
28.06.2015;249,01
29.06.2015;257,06
30.06.2015;263,07
01.07.2015;258,62
02.07.2015;255,41
03.07.2015;256,34
04.07.2015;260,89
05.07.2015;271,91
06.07.2015;269,03
07.07.2015;266,21
08.07.2015;270,79
09.07.2015;269,23
10.07.2015;284,89
11.07.2015;293,12
12.07.2015;310,87
13.07.2015;292,05
14.07.2015;287,46
15.07.2015;285,83
16.07.2015;278,09
17.07.2015;279,47
18.07.2015;274,9
19.07.2015;273,61
20.07.2015;278,98
21.07.2015;275,83
22.07.2015;277,22
23.07.2015;276,05
24.07.2015;288,28
25.07.2015;288,7
26.07.2015;292,69
27.07.2015;293,62
28.07.2015;294,43
29.07.2015;289,59
30.07.2015;287,72
31.07.2015;284,65
01.08.2015;281,6
02.08.2015;282,61
03.08.2015;281,23
04.08.2015;285,22
05.08.2015;281,88
06.08.2015;278,58
07.08.2015;279,58
08.08.2015;261
09.08.2015;265,08
10.08.2015;264,47
11.08.2015;270,39
12.08.2015;266,38
13.08.2015;264,08
14.08.2015;265,68
15.08.2015;261,55
16.08.2015;258,51
17.08.2015;257,98
18.08.2015;211,08
19.08.2015;226,68
20.08.2015;235,35
21.08.2015;232,57
22.08.2015;230,39
23.08.2015;228,17
24.08.2015;210,5
